# Annotated with Bakta
# Software: v1.12.1
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_2	cds	167572	169080	+	BBGPBF_01113		Citrate lyase alpha chain	SO:0001217, UniRef:UniRef50_P75726
contig_2	cds	169099	170007	+	BBGPBF_01114		2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase	SO:0001217, UniRef:UniRef50_B7LWM0
contig_2	cds	170236	171057	+	BBGPBF_01115		4-hydroxy-tetrahydrodipicolinate reductase	SO:0001217, UniRef:UniRef50_Q2NVY2
contig_2	ncRNA-region	171063	171140	+			ABC transporter regulator	RFAM:RF02551, SO:0005836
contig_2	cds	171515	172663	+	BBGPBF_01116		Carbamoyl phosphate synthase small chain	SO:0001217, UniRef:UniRef50_P0A6F1
contig_2	cds	172681	175905	+	BBGPBF_01117		Carbamoyl phosphate synthase large chain	SO:0001217, UniRef:UniRef50_P00968
contig_2	cds	176075	176308	+	BBGPBF_01118		Lipoprotein	SO:0001217, UniRef:UniRef50_A0A0J8YCG2
contig_2	cds	176440	176973	+	BBGPBF_01119	kefF	Glutathione-regulated potassium-efflux system ancillary protein KefF	SO:0001217, UniRef:UniRef50_Q8ZRW3
contig_2	cds	176966	178831	+	BBGPBF_01120	kefC	Glutathione-regulated potassium-efflux system protein KefC	SO:0001217, UniRef:UniRef50_P03819
contig_2	cds	179005	179484	+	BBGPBF_01121		Dihydrofolate reductase	SO:0001217, UniRef:UniRef50_Q6D0D5
contig_2	cds	179739	180587	-	BBGPBF_01122		Bis(5'-nucleosyl)-tetraphosphatase, symmetrical	SO:0001217, UniRef:UniRef50_C4L9L6
contig_2	cds	180592	180969	-	BBGPBF_01123	apaG	Protein ApaG	SO:0001217, UniRef:UniRef50_Q56017
contig_2	cds	180972	181793	-	BBGPBF_01124		Ribosomal RNA small subunit methyltransferase A	SO:0001217, UniRef:UniRef50_P06992
contig_2	cds	181790	182779	-	BBGPBF_01125		4-hydroxythreonine-4-phosphate dehydrogenase	SO:0001217, UniRef:UniRef50_P58719
contig_2	cds	182785	184071	-	BBGPBF_01126	surA	Chaperone SurA	SO:0001217, UniRef:UniRef50_P0ABZ6
contig_2	cds	184126	186474	-	BBGPBF_01127	lptD	LPS-assembly protein LptD	SO:0001217, UniRef:UniRef50_B4F2H9
contig_2	cds	186718	187545	+	BBGPBF_01128		hypothetical protein	PFAM:PF00226.36
contig_2	cds	187578	188276	-	BBGPBF_01129		Transcriptional regulatory protein	SO:0001217, UniRef:UniRef50_A0A2X2E2U7
contig_2	cds	188266	189891	-	BBGPBF_01130		histidine kinase	SO:0001217, UniRef:UniRef50_E0SAP8
contig_2	cds	190216	191580	+	BBGPBF_01131		Citrate/malate-proton symporter	SO:0001217, UniRef:UniRef50_A0A3P8M4N0
contig_2	cds	191760	192299	+	BBGPBF_01132		Apo-citrate lyase phosphoribosyl-dephospho-CoA transferase	SO:0001217, UniRef:UniRef50_A0A8G1ZZE5
contig_2	cds	192374	193033	-	BBGPBF_01133	rluA	Dual-specificity RNA pseudouridine synthase RluA	SO:0001217, UniRef:UniRef50_P0AA37
contig_2	cds	193046	195952	-	BBGPBF_01134	rapA	RNA polymerase-associated protein RapA	SO:0001217, UniRef:UniRef50_P60240
contig_2	cds	196140	198497	-	BBGPBF_01135		DNA polymerase II	SO:0001217, UniRef:UniRef50_P21189
contig_2	cds	198673	199368	-	BBGPBF_01136	araD	L-ribulose-5-phosphate 4-epimerase AraD	SO:0001217, UniRef:UniRef50_P08203
contig_2	cds	199506	201008	-	BBGPBF_01137		L-arabinose isomerase	SO:0001217, UniRef:UniRef50_P08202
contig_2	cds	201019	202728	-	BBGPBF_01138		Ribulokinase	SO:0001217, UniRef:UniRef50_A0A4P0XR93
contig_2	cds	203066	203911	+	BBGPBF_01139		Arabinose operon regulatory protein	SO:0001217, UniRef:UniRef50_A0A090V0Z5
contig_2	cds	204040	204807	+	BBGPBF_01140	yabI	DedA family inner membrane protein YabI	SO:0001217, UniRef:UniRef50_A0A377TMN9
contig_2	cds	204794	205495	-	BBGPBF_01141	thiQ	Thiamine import ATP-binding protein ThiQ	SO:0001217, UniRef:UniRef50_A0A4U9DD72
contig_2	cds	205479	207089	-	BBGPBF_01142	thiP	Thiamine transport system permease protein ThiP	SO:0001217, UniRef:UniRef50_A0A8I1W5K3
contig_2	cds	207065	208048	-	BBGPBF_01143		Thiamine-binding periplasmic protein	SO:0001217, UniRef:UniRef50_A0A0U5LKV3
contig_2	cds	208338	209993	-	BBGPBF_01144		Putative substrate-binding protein	SO:0001217, UniRef:UniRef50_A0A377KCN3
contig_2	ncRNA	210061	210471	+	BBGPBF_01145	sgrS	SgrS RNA	RFAM:RF00534, SO:0000655
contig_2	cds	210081	210233	+	BBGPBF_01146		hypothetical protein	
contig_2	cds	210501	211685	+	BBGPBF_01147		Sugar efflux transporter A	SO:0001217, UniRef:UniRef50_P31675
contig_2	cds	211719	213029	-	BBGPBF_01148		MFS transporter	SO:0001217, UniRef:UniRef50_A0A927DV88
contig_2	cds	213261	214157	+	BBGPBF_01149	yybE	HTH-type transcriptional regulator YybE	SO:0001217, UniRef:UniRef50_A0A0H3L0B3
contig_2	cds	214195	214950	-	BBGPBF_01150		3-dehydroquinate dehydratase	SO:0001217, UniRef:UniRef50_A6T4L2
contig_2	cds	214981	216195	-	BBGPBF_01151	ydiM	Inner membrane transport protein YdiM	SO:0001217, UniRef:UniRef50_P76197
contig_2	cds	216206	217069	-	BBGPBF_01152		Quinate/shikimate dehydrogenase	SO:0001217, UniRef:UniRef50_Q8ZPR4
contig_2	cds	217081	219114	-	BBGPBF_01153		NADH:flavin oxidoreductase/NADH oxidase N-terminal domain-containing protein	SO:0001217, UniRef:UniRef50_R9LQH9
contig_2	cds	219510	220115	-	BBGPBF_01154		3-isopropylmalate dehydratase small subunit	SO:0001217, UniRef:UniRef50_P30126
contig_2	cds	220126	221526	-	BBGPBF_01155		3-isopropylmalate dehydratase large subunit	SO:0001217, UniRef:UniRef50_P0A6A6
contig_2	cds	221529	222620	-	BBGPBF_01156		3-isopropylmalate dehydrogenase	SO:0001217, UniRef:UniRef50_P56933
contig_2	cds	222620	224191	-	BBGPBF_01157		2-isopropylmalate synthase	SO:0001217, UniRef:UniRef50_P15875
contig_2	ncRNA-region	224237	224388	-			Leucine operon leader	RFAM:RF00512, SO:0000140
contig_2	sorf	224287	224373	-	BBGPBF_01158		leu operon leader peptide	SO:0001217, UniRef:UniRef50_A0A264C508
contig_2	cds	225005	225955	+	BBGPBF_01159	leuO	putative HTH-type transcriptional regulator LeuO	SO:0001217, UniRef:UniRef50_P46924
contig_2	cds	226350	228074	+	BBGPBF_01160		Acetolactate synthase isozyme 3 large subunit	SO:0001217, UniRef:UniRef50_P00893
contig_2	cds	228077	228568	+	BBGPBF_01161		Acetolactate synthase isozyme 3 small subunit	SO:0001217, UniRef:UniRef50_P00894
contig_2	cds	228749	229753	+	BBGPBF_01162		Catabolite repressor/activator	SO:0001217, UniRef:UniRef50_A1JJI2
contig_2	cds	230394	230852	+	BBGPBF_01163	mraZ	Transcriptional regulator MraZ	SO:0001217, UniRef:UniRef50_C5B9E7
contig_2	cds	230855	231796	+	BBGPBF_01164		Ribosomal RNA small subunit methyltransferase H	SO:0001217, UniRef:UniRef50_P60390
contig_2	cds	231793	232158	+	BBGPBF_01165	ftsL	Cell division protein FtsL	SO:0001217, UniRef:UniRef50_Q7CR84
contig_2	cds	232174	233940	+	BBGPBF_01166	ftsI	Peptidoglycan D,D-transpeptidase FtsI	SO:0001217, UniRef:UniRef50_P0AD68
contig_2	cds	233927	235414	+	BBGPBF_01167		UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase	SO:0001217, UniRef:UniRef50_Q8ZRU7
contig_2	cds	235411	236769	+	BBGPBF_01168		UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase	SO:0001217, UniRef:UniRef50_P11880
contig_2	cds	236763	237845	+	BBGPBF_01169		Phospho-N-acetylmuramoyl-pentapeptide-transferase	SO:0001217, UniRef:UniRef50_P0A6W3
contig_2	cds	237848	239164	+	BBGPBF_01170		UDP-N-acetylmuramoylalanine--D-glutamate ligase	SO:0001217, UniRef:UniRef50_Q8ZRU4
contig_2	cds	239164	240438	+	BBGPBF_01171	ftsW	putative peptidoglycan glycosyltransferase FtsW	SO:0001217, UniRef:UniRef50_Q493Q2
contig_2	cds	240459	241505	+	BBGPBF_01172		UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase	SO:0001217, UniRef:UniRef50_Q8ZIE9
contig_2	cds	241553	243028	+	BBGPBF_01173		UDP-N-acetylmuramate--L-alanine ligase	SO:0001217, UniRef:UniRef50_P17952
contig_2	cds	243021	243941	+	BBGPBF_01174		D-alanine--D-alanine ligase B	SO:0001217, UniRef:UniRef50_P07862
contig_2	cds	243943	244773	+	BBGPBF_01175	ftsQ	Cell division protein FtsQ	SO:0001217, UniRef:UniRef50_P06136
contig_2	cds	244770	246032	+	BBGPBF_01176	ftsA	Cell division protein FtsA	SO:0001217, UniRef:UniRef50_P0ABH0
contig_2	ncRNA	246012	246103	+	BBGPBF_01177	PssrA	Plasmid-encoded Shigella sRNA A	RFAM:RF02797, SO:0000655
contig_2	cds	246095	247246	+	BBGPBF_01178	ftsZ	Cell division protein FtsZ	SO:0001217, UniRef:UniRef50_Q9ZAW3
contig_2	cds	247347	248264	+	BBGPBF_01179		UDP-3-O-acyl-N-acetylglucosamine deacetylase	SO:0001217, UniRef:UniRef50_Q6LMG1
contig_2	cds	248581	249084	+	BBGPBF_01180		Secretion monitor	SO:0001217, UniRef:UniRef50_A6T4P0
contig_2	cds	249147	251852	+	BBGPBF_01181	secA	Protein translocase subunit SecA	SO:0001217, UniRef:UniRef50_P10408
contig_2	ncRNA	251828	251896	+	BBGPBF_01182	STnc40	Salmonella enterica sRNA STnc40	RFAM:RF02057, SO:0000655
contig_2	cds	251911	252303	+	BBGPBF_01183		8-oxo-dGTP diphosphatase	SO:0001217, UniRef:UniRef50_P08337
contig_2	cds	252356	252550	-	BBGPBF_01184	yacG	DNA gyrase inhibitor YacG	SO:0001217, UniRef:UniRef50_B2VD52
contig_2	cds	252560	253303	-	BBGPBF_01185	zapD	Cell division protein ZapD	SO:0001217, UniRef:UniRef50_P36680
contig_2	cds	253303	253923	-	BBGPBF_01186		Dephospho-CoA kinase	SO:0001217, UniRef:UniRef50_P56186
contig_2	cds	254267	255310	+	BBGPBF_01187		GMP reductase	SO:0001217, UniRef:UniRef50_P59443
contig_2	cds	255347	256552	-	BBGPBF_01188		Protein transport HofC-like protein	SO:0001217, UniRef:UniRef50_P36646
contig_2	cds	256542	257927	-	BBGPBF_01189		Bacterial type II secretion system protein E domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0H3FWD5
contig_2	cds	257938	258369	-	BBGPBF_01190		Prepilin peptidase-dependent protein D	SO:0001217, UniRef:UniRef50_P36647
contig_2	cds	258551	259444	-	BBGPBF_01191		nicotinate-nucleotide diphosphorylase (carboxylating)	SO:0001217, UniRef:UniRef50_A0A269PUV1
contig_2	cds	259578	260141	+	BBGPBF_01192	ampD	1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD	SO:0001217, UniRef:UniRef50_A0A2J5PP37
contig_2	cds	260138	260992	+	BBGPBF_01193		Membrane-bound sensory transducer in beta-lactamase regulation	SO:0001217, UniRef:UniRef50_A1JJL4
contig_2	cds	261228	262178	-	BBGPBF_01194		Alpha-L-arabinofuranosidase	SO:0001217, UniRef:UniRef50_A0A1B7JMZ2
contig_2	cds	262178	263584	-	BBGPBF_01195		GPH family transporter	SO:0001217, UniRef:UniRef50_A0A0E1GVZ2
contig_2	cds	263769	265139	-	BBGPBF_01196		Amino acid permease/ SLC12A domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0G3EUP7
contig_2	cds	265783	266562	+	BBGPBF_01197		Pyruvate dehydrogenase complex repressor	SO:0001217, UniRef:UniRef50_P0ACL9
contig_2	ncRNA	266566	266695	-	BBGPBF_01198	tp2	tp2	RFAM:RF02030, SO:0000655
contig_2	cds	266699	269362	+	BBGPBF_01199		Pyruvate dehydrogenase E1 component	SO:0001217, UniRef:UniRef50_A0A6H2F9S0
contig_2	cds	269377	271275	+	BBGPBF_01200		Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex	SO:0001217, UniRef:UniRef50_P06959
contig_2	cds	271482	272906	+	BBGPBF_01201		Dihydrolipoyl dehydrogenase	SO:0001217, UniRef:UniRef50_P0A9P0
contig_2	cds	273071	273355	+	BBGPBF_01202		Lipoprotein	SO:0001217, UniRef:UniRef50_A0A0T9T4Y7
contig_2	cds	273401	274207	-	BBGPBF_01203		DUF2950 domain-containing protein	SO:0001217, UniRef:UniRef50_C9XVS6
contig_2	cds	274219	275826	-	BBGPBF_01204		DUF3300 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A090V3P8
contig_2	cds	276258	278855	+	BBGPBF_01205		Aconitate hydratase B	SO:0001217, UniRef:UniRef50_A0A2S5M6R7
contig_2	cds	279042	279404	+	BBGPBF_01206	yacL	UPF0231 protein YacL	SO:0001217, UniRef:UniRef50_P0A8E5
contig_2	cds	279477	280271	-	BBGPBF_01207		S-adenosylmethionine decarboxylase proenzyme	SO:0001217, UniRef:UniRef50_P0A7F6
contig_2	cds	280296	281156	-	BBGPBF_01208		Polyamine aminopropyltransferase	SO:0001217, UniRef:UniRef50_A0A9W6K5P1
contig_2	cds	281306	283165	-	BBGPBF_01209		peptidylprolyl isomerase	SO:0001217, UniRef:UniRef50_A0A483P489
contig_2	cds	283162	283572	-	BBGPBF_01210		Permease	SO:0001217, UniRef:UniRef50_A0A0H3FWI2
contig_2	cds	283820	284179	-	BBGPBF_01211		Chaperone lipoprotein YacC, putatively involved in protein secretion	SO:0001217, UniRef:UniRef50_E0SBM7
contig_2	cds	284313	285911	+	BBGPBF_01212	cueO	Multicopper oxidase CueO	SO:0001217, UniRef:UniRef50_P36649
contig_2	cds	285995	288385	-	BBGPBF_01213		Quinoprotein glucose dehydrogenase	SO:0001217, UniRef:UniRef50_A0A447QUM1
contig_2	cds	288590	289126	+	BBGPBF_01214		Hypoxanthine phosphoribosyltransferase	SO:0001217, UniRef:UniRef50_P18134
contig_2	cds	289186	289848	-	BBGPBF_01215		Carbonic anhydrase 2	SO:0001217, UniRef:UniRef50_P45148
contig_2	cds	290033	290959	+	BBGPBF_01216		ABC transporter domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1P8ULG6
contig_2	cds	290959	291726	+	BBGPBF_01217	yadH	Inner membrane transport permease YadH	SO:0001217, UniRef:UniRef50_P0AFN6
contig_2	cds	291849	292289	+	BBGPBF_01218	yadI	Putative phosphotransferase enzyme IIA component YadI	SO:0001217, UniRef:UniRef50_P36881
contig_2	cds	292348	293601	+	BBGPBF_01219		Polysaccharide deacetylase domain protein	SO:0001217, UniRef:UniRef50_A0A379WZK3
contig_2	cds	293637	294017	-	BBGPBF_01220		Aspartate 1-decarboxylase	SO:0001217, UniRef:UniRef50_A0A376FKL2
contig_2	cds	294110	294964	-	BBGPBF_01221		Pantothenate synthetase	SO:0001217, UniRef:UniRef50_A0A143WS51
contig_2	cds	294976	295767	-	BBGPBF_01222		3-methyl-2-oxobutanoate hydroxymethyltransferase	SO:0001217, UniRef:UniRef50_P31057
contig_2	cds	295888	296367	-	BBGPBF_01223		2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase	SO:0001217, UniRef:UniRef50_A0A090IJW5
contig_2	cds	296364	297725	-	BBGPBF_01224		Poly(A) polymerase I	SO:0001217, UniRef:UniRef50_A0A2X3ERX0
contig_2	cds	297821	298702	-	BBGPBF_01225		Glutamyl-Q tRNA(Asp) synthetase	SO:0001217, UniRef:UniRef50_Q07Y01
contig_2	cds	298762	299217	-	BBGPBF_01226	dksA	RNA polymerase-binding transcription factor DksA	SO:0001217, UniRef:UniRef50_P57294
contig_2	cds	299380	300096	-	BBGPBF_01227		Sugar fermentation stimulation protein A	SO:0001217, UniRef:UniRef50_Q8ZRQ6
contig_2	cds	300096	300632	-	BBGPBF_01228		RNA 2',3'-cyclic phosphodiesterase	SO:0001217, UniRef:UniRef50_A0A379TGX4
contig_2	cds	300705	303134	+	BBGPBF_01229	hrpB	ATP-dependent RNA helicase HrpB	SO:0001217, UniRef:UniRef50_P37024
contig_2	cds	303182	303982	-	BBGPBF_01230		Prepilin leader peptidase/N-methyltransferase	SO:0001217, UniRef:UniRef50_P15754
contig_2	cds	303979	304725	-	BBGPBF_01231		Type II secretion system protein N	SO:0001217, UniRef:UniRef50_A0A7U2ZPU6
contig_2	cds	304715	305200	-	BBGPBF_01232		Type II secretion system protein M	SO:0001217, UniRef:UniRef50_P15752
contig_2	cds	305193	306356	-	BBGPBF_01233	pulL	Pullulanase secretion protein PulL	SO:0001217, UniRef:UniRef50_A0A2X3FIX0
contig_2	cds	306373	307359	-	BBGPBF_01234		hypothetical protein	PFAM:PF03934.19, PFAM:PF21687.3
contig_2	cds	307356	307952	-	BBGPBF_01235		Type II secretion system protein J	SO:0001217, UniRef:UniRef50_A0A7Z8ZDS3
contig_2	cds	307949	308314	-	BBGPBF_01236		Type II secretion system protein I	SO:0001217, UniRef:UniRef50_A0A0H3HA88
contig_2	cds	308311	308826	-	BBGPBF_01237		Type II secretion system protein H	SO:0001217, UniRef:UniRef50_P15747
contig_2	cds	308826	309248	-	BBGPBF_01238		Type II secretion system core protein G	SO:0001217, UniRef:UniRef50_A0A0H3HDD6
contig_2	cds	309269	310483	-	BBGPBF_01239		General secretion pathway protein F	SO:0001217, UniRef:UniRef50_A0A485B1M0
contig_2	cds	310485	311978	-	BBGPBF_01240		Type II secretion system protein E	SO:0001217, UniRef:UniRef50_P15645
contig_2	cds	311975	313930	-	BBGPBF_01241	pulD	GspD family T2SS secretin variant PulD	BlastRules:WP_004872081, SO:0001217, UniRef:UniRef50_P15644
contig_2	cds	313958	314800	-	BBGPBF_01242		Type II secretion system protein C	SO:0001217, UniRef:UniRef50_P15643
contig_2	cds	315107	318415	+	BBGPBF_01243		pullulanase	SO:0001217, UniRef:UniRef50_C7BU32
contig_2	cds	318672	319229	+	BBGPBF_01244	gspB	Type II secretion system protein GspB C-terminal domain-containing protein	SO:0001217, UniRef:UniRef50_A0A9P3PAW1
contig_2	cds	320230	322785	+	BBGPBF_01245		Penicillin-binding protein 1B	SO:0001217, UniRef:UniRef50_A0A0U3BXI8
contig_2	cds	323020	325227	+	BBGPBF_01246	fhuA	Ferrichrome porin FhuA	SO:0001217, UniRef:UniRef50_A0AA92X3D8
contig_2	cds	325273	326070	+	BBGPBF_01247	fhuC	Iron(3+)-hydroxamate import ATP-binding protein FhuC	SO:0001217, UniRef:UniRef50_P07821
contig_2	cds	326070	326960	+	BBGPBF_01248	fhuD	Iron(3+)-hydroxamate-binding protein FhuD	SO:0001217, UniRef:UniRef50_P07822
contig_2	cds	326957	328939	+	BBGPBF_01249		Iron ABC transporter	SO:0001217, UniRef:UniRef50_A0A0J8YC22
contig_2	cds	329076	330356	-	BBGPBF_01250		Glutamate-1-semialdehyde 2,1-aminomutase	SO:0001217, UniRef:UniRef50_Q5NGB9
contig_2	cds	330444	331955	+	BBGPBF_01251	clcA	H(+)/Cl(-) exchange transporter ClcA	SO:0001217, UniRef:UniRef50_Q8ZRP8
contig_2	cds	332037	332381	+	BBGPBF_01252		FeS cluster biogenesis domain-containing protein	SO:0001217, UniRef:UniRef50_A0A920M0K7
contig_2	cds	332453	333076	-	BBGPBF_01253	yadS	UPF0126 inner membrane protein YadS	SO:0001217, UniRef:UniRef50_P0AFP0
contig_2	cds	333113	333913	-	BBGPBF_01254		Vitamin B12-binding protein	SO:0001217, UniRef:UniRef50_P37028
contig_2	cds	333906	334604	-	BBGPBF_01255		5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	SO:0001217, UniRef:UniRef50_B7GIU7
contig_2	cds	334688	336202	+	BBGPBF_01256		Deoxyguanosinetriphosphate triphosphohydrolase	SO:0001217, UniRef:UniRef50_P15723
contig_2	cds	336337	337770	+	BBGPBF_01257	degP	Periplasmic serine endoprotease DegP	SO:0001217, UniRef:UniRef50_P26982
contig_2	cds	337883	339094	+	BBGPBF_01258	cdaR	DNA-binding transcriptional regulator CdaR	BlastRules:WP_000929443, SO:0001217, UniRef:UniRef50_P37047
contig_2	cds	339213	339599	-	BBGPBF_01259	yaeH	UPF0325 protein YaeH	SO:0001217, UniRef:UniRef50_P62768
contig_2	cds	339707	340531	-	BBGPBF_01260		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	SO:0001217, UniRef:UniRef50_A0A3S4UQ12
contig_2	cds	340562	343225	-	BBGPBF_01261		Bifunctional uridylyltransferase/uridylyl-removing enzyme	SO:0001217, UniRef:UniRef50_P27249
contig_2	cds	343283	344077	-	BBGPBF_01262		Methionine aminopeptidase	SO:0001217, UniRef:UniRef50_P0A1X6
contig_2	ncRNA	344285	344371	+	BBGPBF_01263	t44	t44 RNA	RFAM:RF00127, SO:0000655
contig_2	cds	344400	345125	+	BBGPBF_01264		Small ribosomal subunit protein uS2	SO:0001217, UniRef:UniRef50_P44371
contig_2	cds	345245	346096	+	BBGPBF_01265		Elongation factor Ts	SO:0001217, UniRef:UniRef50_A5WCX3
contig_2	cds	346247	346972	+	BBGPBF_01266		Uridylate kinase	SO:0001217, UniRef:UniRef50_P0A7E9
contig_2	cds	347123	347680	+	BBGPBF_01267		Ribosome-recycling factor	SO:0001217, UniRef:UniRef50_Q5NZH2
contig_2	cds	347909	349111	+	BBGPBF_01268		1-deoxy-D-xylulose 5-phosphate reductoisomerase	SO:0001217, UniRef:UniRef50_Q57T35
contig_2	cds	349331	350107	+	BBGPBF_01269		Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)	SO:0001217, UniRef:UniRef50_P60472
contig_2	cds	350195	350977	+	BBGPBF_01270		Phosphatidate cytidylyltransferase	SO:0001217, UniRef:UniRef50_A0A7X3SB20
contig_2	cds	350989	352341	+	BBGPBF_01271		Regulator of sigma E protease	SO:0001217, UniRef:UniRef50_Q8ZRP1
contig_2	cds	352373	354802	+	BBGPBF_01272	bamA	Outer membrane protein assembly factor BamA	SO:0001217, UniRef:UniRef50_B2VE18
contig_2	cds	354924	355409	+	BBGPBF_01273		Chaperone protein Skp	SO:0001217, UniRef:UniRef50_A0A3S4FYR1
contig_2	cds	355413	356438	+	BBGPBF_01274		UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase	SO:0001217, UniRef:UniRef50_P21645
contig_2	cds	356544	356999	+	BBGPBF_01275	fabZ	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ	SO:0001217, UniRef:UniRef50_Q9KPW3
contig_2	cds	357003	357791	+	BBGPBF_01276		Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase	SO:0001217, UniRef:UniRef50_A8GID4
contig_2	cds	357791	358942	+	BBGPBF_01277		Lipid-A-disaccharide synthase	SO:0001217, UniRef:UniRef50_A0A376LI07
contig_2	cds	358939	359538	+	BBGPBF_01278		Ribonuclease HII	SO:0001217, UniRef:UniRef50_Q8EGG1
contig_2	cds	359556	363038	+	BBGPBF_01279		DNA polymerase III subunit alpha	SO:0001217, UniRef:UniRef50_P10443
contig_2	cds	363051	364010	+	BBGPBF_01280		Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha	SO:0001217, UniRef:UniRef50_Q4ZWR2
contig_2	cds	364124	366277	+	BBGPBF_01281		Inducible lysine decarboxylase	SO:0001217, UniRef:UniRef50_P0A9H3
contig_2	cds	366324	366713	+	BBGPBF_01282		Manganese-dependent 2,3-dihydroxybiphenyl 1,2-dioxygenase	SO:0001217, UniRef:UniRef50_A0A1V5LLX3
contig_2	cds	366767	368080	+	BBGPBF_01283		tRNA(Ile)-lysidine synthase	SO:0001217, UniRef:UniRef50_A0A378ABN2
contig_2	cds	368094	368354	-	BBGPBF_01284		hypothetical protein	
contig_2	cds	368341	368541	-	BBGPBF_01285		UPF0253 protein VF_0662	SO:0001217, UniRef:UniRef50_Q5E739
contig_2	cds	368738	369283	+	BBGPBF_01286	yaeQ	YaeQ family protein	SO:0001217, UniRef:UniRef50_A0A0H3GIN7
contig_2	cds	369280	369693	+	BBGPBF_01287	arfB	Peptidyl-tRNA hydrolase ArfB	SO:0001217, UniRef:UniRef50_P40711
contig_2	cds	369736	370434	+	BBGPBF_01288	nlpE	Lipoprotein NlpE	SO:0001217, UniRef:UniRef50_P40710
contig_2	cds	370566	371408	-	BBGPBF_01289	yaeF	putative lipoprotein peptidase YaeF	SO:0001217, UniRef:UniRef50_P37056
contig_2	cds	371467	373185	-	BBGPBF_01290		Proline--tRNA ligase	SO:0001217, UniRef:UniRef50_G2H1A0
contig_2	cds	373298	374005	-	BBGPBF_01291		tRNA (adenine(37)-N6)-methyltransferase	SO:0001217, UniRef:UniRef50_P28634
contig_2	cds	374002	374409	-	BBGPBF_01292	rcsF	Outer membrane lipoprotein RcsF	SO:0001217, UniRef:UniRef50_P69411
contig_2	cds	374517	375332	-	BBGPBF_01293	metQ	methionine ABC transporter substrate-binding lipoprotein MetQ	BlastRules:WP_000874226, SO:0001217, UniRef:UniRef50_Q9KTJ7
contig_2	cds	375376	376029	-	BBGPBF_01294	metI	D-methionine transport system permease protein MetI	SO:0001217, UniRef:UniRef50_A0A8T4HFD4
contig_2	cds	376022	377053	-	BBGPBF_01295	metN	methionine ABC transporter ATP-binding protein MetN	BlastRules:WP_000594016, BlastRules:WP_000594021, SO:0001217, UniRef:UniRef50_P30750
contig_2	cds	377242	377808	+	BBGPBF_01296		D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase	SO:0001217, UniRef:UniRef50_P63228
contig_3	tRNA	3	76	-	BBGPBF_01297	trnR	tRNA-Arg(acg)	SO:0001036
contig_3	tRNA	81	173	-	BBGPBF_01298	trnS	tRNA-Ser(gct)	SO:0000269
contig_3	cds	496	681	-	BBGPBF_01299	csrA	carbon storage regulator CsrA	BlastRules:WP_002209449, SO:0001217, UniRef:UniRef50_A0A0E3Y7Y4
contig_3	cds	1045	3672	-	BBGPBF_01300		Alanine--tRNA ligase	SO:0001217, UniRef:UniRef50_Q8ZBT8
contig_3	cds	3923	4423	-	BBGPBF_01301	recX	Regulatory protein RecX	SO:0001217, UniRef:UniRef50_P33596
contig_3	cds	4491	5549	-	BBGPBF_01302	recA	Protein RecA	SO:0001217, UniRef:UniRef50_A0AA87C387
contig_3	cds	5640	6137	-	BBGPBF_01303		Nicotinamide-nucleotide amidase	SO:0001217, UniRef:UniRef50_A0AAD2UXF8
contig_3	cds	6277	7155	-	BBGPBF_01304	znuA	Zinc ABC transporter, periplasmic-binding protein ZnuA	SO:0001217, UniRef:UniRef50_E0SFD8
contig_3	cds	7163	8026	-	BBGPBF_01305	mntB	Manganese transport system membrane protein MntB	SO:0001217, UniRef:UniRef50_A0A285AXB9
contig_3	cds	8023	8700	-	BBGPBF_01306		ATP-binding component of an ABC superfamily zinc transporter	SO:0001217, UniRef:UniRef50_A0A085G4E8
contig_3	cds	8697	8804	-	BBGPBF_01307		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A0H3FKA9
contig_3	cds	9072	10151	-	BBGPBF_01308		Murein hydrolase B	SO:0001217, UniRef:UniRef50_A0A377Z6Z1
