# Annotated with Bakta
# Software: v1.12.1
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_2	cds	239164	240438	+	BBGPBF_01171	553.0	2.9e-195	0.892	0.840	0.728	UniRef:UniRef50_Q493Q2
contig_2	cds	240459	241505	+	BBGPBF_01172	565.0	1.5e-202	0.991	0.938	0.817	UniRef:UniRef50_Q8ZIE9
contig_2	cds	241553	243028	+	BBGPBF_01173	842.0	2.9e-307	1.0	0.926	0.862	UniRef:UniRef50_P17952
contig_2	cds	243021	243941	+	BBGPBF_01174	388.0	1.7e-133	1.222	0.997	0.567	UniRef:UniRef50_P07862
contig_2	cds	243943	244773	+	BBGPBF_01175	452.0	1.4e-159	1.279	1.0	0.694	UniRef:UniRef50_P06136
contig_2	cds	244770	246032	+	BBGPBF_01176	820.0	7.6e-301	1.0	0.938	0.998	UniRef:UniRef50_P0ABH0
contig_2	ncRNA	246012	246103	+	BBGPBF_01177	99.9	4.8e-16	-	-	-	RFAM:RF02797
contig_2	cds	246095	247246	+	BBGPBF_01178	440.0	8.6e-152	1.146	1.002	0.597	UniRef:UniRef50_Q9ZAW3
contig_2	cds	247347	248264	+	BBGPBF_01179	568.0	7.9e-205	1.141	1.0	0.828	UniRef:UniRef50_Q6LMG1
contig_2	cds	248581	249084	+	BBGPBF_01180	315.0	2.2e-109	1.0	0.815	0.940	UniRef:UniRef50_A6T4P0
contig_2	cds	249147	251852	+	BBGPBF_01181	1190.0	0.0	0.983	0.837	0.686	UniRef:UniRef50_P10408
contig_2	ncRNA	251828	251896	+	BBGPBF_01182	78.0	9.0e-13	-	-	-	RFAM:RF02057
contig_2	cds	251911	252303	+	BBGPBF_01183	216.0	7.9e-72	0.969	0.840	0.825	UniRef:UniRef50_P08337
contig_2	cds	252356	252550	-	BBGPBF_01184	80.9	2.3e-20	1.016	0.890	0.585	UniRef:UniRef50_B2VD52
contig_2	cds	252560	253303	-	BBGPBF_01185	475.0	2.7e-170	0.968	0.842	1.0	UniRef:UniRef50_P36680
contig_2	cds	253303	253923	-	BBGPBF_01186	390.0	3.8e-138	1.0	0.851	1.0	UniRef:UniRef50_P56186
contig_2	cds	254267	255310	+	BBGPBF_01187	432.0	1.1e-149	1.020	0.855	0.630	UniRef:UniRef50_P59443
contig_2	cds	255347	256552	-	BBGPBF_01188	703.0	4.2e-255	1.127	1.0	0.865	UniRef:UniRef50_P36646
contig_2	cds	256542	257927	-	BBGPBF_01189	573.0	1.9e-202	1.028	0.996	0.614	UniRef:UniRef50_A0A0H3FWD5
contig_2	cds	257938	258369	-	BBGPBF_01190	264.0	2.8e-90	1.154	1.0	0.848	UniRef:UniRef50_P36647
contig_2	cds	258551	259444	-	BBGPBF_01191	342.0	2.0e-116	1.024	0.987	0.609	UniRef:UniRef50_A0A269PUV1
contig_2	cds	259578	260141	+	BBGPBF_01192	290.0	5.6e-99	1.0	0.870	0.733	UniRef:UniRef50_A0A2J5PP37
contig_2	cds	260138	260992	+	BBGPBF_01193	337.0	5.4e-115	1.007	1.0	0.612	UniRef:UniRef50_A1JJL4
contig_2	cds	261228	262178	-	BBGPBF_01194	642.0	3.0e-234	0.968	0.887	0.971	UniRef:UniRef50_A0A1B7JMZ2
contig_2	cds	262178	263584	-	BBGPBF_01195	923.0	0.0	1.0	0.911	0.998	UniRef:UniRef50_A0A0E1GVZ2
contig_2	cds	263769	265139	-	BBGPBF_01196	571.0	1.2e-200	1.033	0.890	0.635	UniRef:UniRef50_A0A0G3EUP7
contig_2	cds	265783	266562	+	BBGPBF_01197	382.0	6.3e-133	1.174	1.0	0.720	UniRef:UniRef50_P0ACL9
contig_2	ncRNA	266566	266695	-	BBGPBF_01198	94.4	1.1e-16	-	-	-	RFAM:RF02030
contig_2	cds	266699	269362	+	BBGPBF_01199	1646.0	0.0	1.080	1.0	0.855	UniRef:UniRef50_A0A6H2F9S0
contig_2	cds	269377	271275	+	BBGPBF_01200	962.0	0.0	1.185	1.004	0.777	UniRef:UniRef50_P06959
contig_2	cds	271482	272906	+	BBGPBF_01201	914.0	0.0	1.084	1.0	0.922	UniRef:UniRef50_P0A9P0
contig_2	cds	273071	273355	+	BBGPBF_01202	182.0	6.8e-60	1.0	0.931	0.989	UniRef:UniRef50_A0A0T9T4Y7
contig_2	cds	273401	274207	-	BBGPBF_01203	315.0	2.0e-106	0.978	0.882	0.580	UniRef:UniRef50_C9XVS6
contig_2	cds	274219	275826	-	BBGPBF_01204	437.0	5.3e-147	0.847	0.866	0.581	UniRef:UniRef50_A0A090V3P8
contig_2	cds	276258	278855	+	BBGPBF_01205	1251.0	0.0	1.012	0.855	0.722	UniRef:UniRef50_A0A2S5M6R7
contig_2	cds	279042	279404	+	BBGPBF_01206	185.0	6.5e-60	0.975	0.818	0.752	UniRef:UniRef50_P0A8E5
contig_2	cds	279477	280271	-	BBGPBF_01207	397.0	1.4e-138	0.992	0.826	0.729	UniRef:UniRef50_P0A7F6
contig_2	cds	280296	281156	-	BBGPBF_01208	414.0	3.7e-145	1.003	0.990	0.683	UniRef:UniRef50_A0A9W6K5P1
contig_2	cds	281306	283165	-	BBGPBF_01209	769.0	8.5e-275	1.0	1.0	0.989	UniRef:UniRef50_A0A483P489
contig_2	cds	283162	283572	-	BBGPBF_01210	167.0	1.5e-52	1.022	1.0	0.647	UniRef:UniRef50_A0A0H3FWI2
contig_2	cds	283820	284179	-	BBGPBF_01211	227.0	1.5e-76	0.966	0.871	1.0	UniRef:UniRef50_E0SBM7
contig_2	cds	284313	285911	+	BBGPBF_01212	785.0	2.3e-282	1.195	1.032	0.653	UniRef:UniRef50_P36649
contig_2	cds	285995	288385	-	BBGPBF_01213	1018.0	0.0	0.997	0.996	0.628	UniRef:UniRef50_A0A447QUM1
contig_2	cds	288590	289126	+	BBGPBF_01214	243.0	7.9e-81	0.989	0.893	0.665	UniRef:UniRef50_P18134
contig_2	cds	289186	289848	-	BBGPBF_01215	285.0	4.2e-96	0.968	0.859	0.620	UniRef:UniRef50_P45148
contig_2	cds	290033	290959	+	BBGPBF_01216	366.0	3.1e-125	0.968	0.884	0.621	UniRef:UniRef50_A0A1P8ULG6
contig_2	cds	290959	291726	+	BBGPBF_01217	385.0	2.8e-134	1.0	0.825	0.757	UniRef:UniRef50_P0AFN6
contig_2	cds	291849	292289	+	BBGPBF_01218	231.0	2.3e-77	0.986	0.852	0.757	UniRef:UniRef50_P36881
contig_2	cds	292348	293601	+	BBGPBF_01219	726.0	2.9e-264	0.995	1.0	0.858	UniRef:UniRef50_A0A379WZK3
contig_2	cds	293637	294017	-	BBGPBF_01220	197.0	6.9e-65	0.849	1.0	0.897	UniRef:UniRef50_A0A376FKL2
contig_2	cds	294110	294964	-	BBGPBF_01221	413.0	4.9e-145	0.845	0.828	0.867	UniRef:UniRef50_A0A143WS51
contig_2	cds	294976	295767	-	BBGPBF_01222	409.0	2.3e-143	1.0	0.840	0.810	UniRef:UniRef50_P31057
contig_2	cds	295888	296367	-	BBGPBF_01223	272.0	2.5e-93	1.0	0.958	0.849	UniRef:UniRef50_A0A090IJW5
contig_2	cds	296364	297725	-	BBGPBF_01224	702.0	1.7e-252	0.967	0.810	0.797	UniRef:UniRef50_A0A2X3ERX0
contig_2	cds	297821	298702	-	BBGPBF_01225	464.0	9.9e-165	1.010	1.0	0.757	UniRef:UniRef50_Q07Y01
contig_2	cds	298762	299217	-	BBGPBF_01226	288.0	1.8e-99	1.0	0.825	0.954	UniRef:UniRef50_P57294
contig_2	cds	299380	300096	-	BBGPBF_01227	273.0	1.1e-90	1.105	0.992	0.521	UniRef:UniRef50_Q8ZRQ6
contig_2	cds	300096	300632	-	BBGPBF_01228	250.0	7.5e-84	1.034	0.979	0.685	UniRef:UniRef50_A0A379TGX4
contig_2	cds	300705	303134	+	BBGPBF_01229	970.0	0.0	1.002	0.930	0.635	UniRef:UniRef50_P37024
contig_2	cds	303182	303982	-	BBGPBF_01230	295.0	6.2e-99	0.981	0.922	0.586	UniRef:UniRef50_P15754
contig_2	cds	303979	304725	-	BBGPBF_01231	485.0	3.1e-174	1.105	1.0	0.894	UniRef:UniRef50_A0A7U2ZPU6
contig_2	cds	304715	305200	-	BBGPBF_01232	180.0	6.8e-57	1.019	0.976	0.561	UniRef:UniRef50_P15752
contig_2	cds	305193	306356	-	BBGPBF_01233	627.0	4.4e-227	0.840	1.0	0.988	UniRef:UniRef50_A0A2X3FIX0
contig_2	cds	306373	307359	-	BBGPBF_01234	-	-	-	-	-	-
contig_2	cds	307356	307952	-	BBGPBF_01235	366.0	5.8e-129	1.081	1.0	0.911	UniRef:UniRef50_A0A7Z8ZDS3
contig_2	cds	307949	308314	-	BBGPBF_01236	131.0	8.0e-39	0.975	0.937	0.559	UniRef:UniRef50_A0A0H3HA88
contig_2	cds	308311	308826	-	BBGPBF_01237	315.0	5.9e-110	1.064	1.0	0.907	UniRef:UniRef50_P15747
contig_2	cds	308826	309248	-	BBGPBF_01238	181.0	5.1e-58	0.964	0.931	0.607	UniRef:UniRef50_A0A0H3HDD6
contig_2	cds	309269	310483	-	BBGPBF_01239	603.0	3.1e-216	1.0	1.0	0.842	UniRef:UniRef50_A0A485B1M0
contig_2	cds	310485	311978	-	BBGPBF_01240	825.0	9.1e-301	0.998	0.971	0.869	UniRef:UniRef50_P15645
contig_2	cds	311975	313930	-	BBGPBF_01241	1134.0	0.0	0.991	0.977	0.940	BlastRules:WP_004872081
contig_2	cds	313958	314800	-	BBGPBF_01242	272.0	2.2e-89	1.025	0.993	0.557	UniRef:UniRef50_P15643
contig_2	cds	315107	318415	+	BBGPBF_01243	1426.0	0.0	0.991	1.002	0.652	UniRef:UniRef50_C7BU32
contig_2	cds	318672	319229	+	BBGPBF_01244	369.0	4.8e-130	1.0	0.811	0.995	UniRef:UniRef50_A0A9P3PAW1
contig_2	cds	320230	322785	+	BBGPBF_01245	1182.0	0.0	1.062	1.010	0.706	UniRef:UniRef50_A0A0U3BXI8
contig_2	cds	323020	325227	+	BBGPBF_01246	891.0	0.0	0.959	0.892	0.645	UniRef:UniRef50_A0AA92X3D8
contig_2	cds	325273	326070	+	BBGPBF_01247	423.0	5.2e-149	0.996	0.852	0.799	UniRef:UniRef50_P07821
contig_2	cds	326070	326960	+	BBGPBF_01248	441.0	1.8e-155	0.983	0.909	0.725	UniRef:UniRef50_P07822
contig_2	cds	326957	328939	+	BBGPBF_01249	1019.0	0.0	1.083	1.0	0.768	UniRef:UniRef50_A0A0J8YC22
contig_2	cds	329076	330356	-	BBGPBF_01250	652.0	3.7e-234	1.0	0.908	0.742	UniRef:UniRef50_Q5NGB9
contig_2	cds	330444	331955	+	BBGPBF_01251	669.0	6.8e-239	0.932	0.900	0.733	UniRef:UniRef50_Q8ZRP8
contig_2	cds	332037	332381	+	BBGPBF_01252	136.0	3.5e-41	0.807	0.979	0.663	UniRef:UniRef50_A0A920M0K7
contig_2	cds	332453	333076	-	BBGPBF_01253	251.0	4.4e-83	0.971	0.841	0.652	UniRef:UniRef50_P0AFP0
contig_2	cds	333113	333913	-	BBGPBF_01254	352.0	3.7e-121	0.992	0.910	0.693	UniRef:UniRef50_P37028
contig_2	cds	333906	334604	-	BBGPBF_01255	272.0	7.6e-91	1.065	0.984	0.591	UniRef:UniRef50_B7GIU7
contig_2	cds	334688	336202	+	BBGPBF_01256	557.0	5.6e-194	1.006	0.891	0.584	UniRef:UniRef50_P15723
contig_2	cds	336337	337770	+	BBGPBF_01257	624.0	2.6e-221	1.105	1.002	0.664	UniRef:UniRef50_P26982
contig_2	cds	337883	339094	+	BBGPBF_01258	713.0	3.3e-262	0.955	1.0	0.943	BlastRules:WP_000929443
contig_2	cds	339213	339599	-	BBGPBF_01259	224.0	7.7e-75	0.992	0.819	0.882	UniRef:UniRef50_P62768
contig_2	cds	339707	340531	-	BBGPBF_01260	363.0	2.6e-126	0.810	1.0	0.941	UniRef:UniRef50_A0A3S4UQ12
contig_2	cds	340562	343225	-	BBGPBF_01261	1357.0	0.0	0.998	0.947	0.753	UniRef:UniRef50_P27249
contig_2	cds	343283	344077	-	BBGPBF_01262	457.0	1.9e-162	0.996	0.824	0.840	UniRef:UniRef50_P0A1X6
contig_2	ncRNA	344285	344371	+	BBGPBF_01263	83.8	2.6e-13	-	-	-	RFAM:RF00127
contig_2	cds	344400	345125	+	BBGPBF_01264	400.0	4.8e-141	0.988	0.912	0.840	UniRef:UniRef50_P44371
contig_2	cds	345245	346096	+	BBGPBF_01265	358.0	2.0e-123	0.996	0.966	0.681	UniRef:UniRef50_A5WCX3
contig_2	cds	346247	346972	+	BBGPBF_01266	386.0	2.7e-135	0.979	0.846	0.839	UniRef:UniRef50_P0A7E9
contig_2	cds	347123	347680	+	BBGPBF_01267	263.0	1.2e-88	1.0	0.853	0.768	UniRef:UniRef50_Q5NZH2
contig_2	cds	347909	349111	+	BBGPBF_01268	632.0	2.4e-227	0.990	0.925	0.811	UniRef:UniRef50_Q57T35
contig_2	cds	349331	350107	+	BBGPBF_01269	486.0	4.0e-174	0.984	0.822	0.957	UniRef:UniRef50_P60472
contig_2	cds	350195	350977	+	BBGPBF_01270	398.0	1.7e-139	0.996	0.890	0.749	UniRef:UniRef50_A0A7X3SB20
contig_2	cds	350989	352341	+	BBGPBF_01271	790.0	4.8e-287	1.0	0.843	0.882	UniRef:UniRef50_Q8ZRP1
contig_2	cds	352373	354802	+	BBGPBF_01272	1219.0	0.0	1.011	1.0	0.729	UniRef:UniRef50_B2VE18
contig_2	cds	354924	355409	+	BBGPBF_01273	228.0	4.1e-76	0.876	0.986	0.901	UniRef:UniRef50_A0A3S4FYR1
contig_2	cds	355413	356438	+	BBGPBF_01274	260.0	1.4e-82	0.977	0.883	0.562	UniRef:UniRef50_P21645
contig_2	cds	356544	356999	+	BBGPBF_01275	274.0	5.5e-94	1.0	0.825	0.887	UniRef:UniRef50_Q9KPW3
contig_2	cds	357003	357791	+	BBGPBF_01276	325.0	5.3e-111	1.0	1.0	0.679	UniRef:UniRef50_A8GID4
contig_2	cds	357791	358942	+	BBGPBF_01277	620.0	3.6e-224	0.875	0.933	0.913	UniRef:UniRef50_A0A376LI07
contig_2	cds	358939	359538	+	BBGPBF_01278	247.0	1.4e-81	0.995	0.805	0.652	UniRef:UniRef50_Q8EGG1
contig_2	cds	359556	363038	+	BBGPBF_01279	2196.0	0.0	0.950	0.896	1.0	UniRef:UniRef50_P10443
contig_2	cds	363051	364010	+	BBGPBF_01280	415.0	1.1e-143	0.994	0.832	0.659	UniRef:UniRef50_Q4ZWR2
contig_2	cds	364124	366277	+	BBGPBF_01281	1008.0	0.0	1.137	0.995	0.607	UniRef:UniRef50_P0A9H3
contig_2	cds	366324	366713	+	BBGPBF_01282	211.0	5.6e-70	0.984	0.830	0.772	UniRef:UniRef50_A0A1V5LLX3
contig_2	cds	366767	368080	+	BBGPBF_01283	483.0	8.1e-168	0.977	0.984	0.588	UniRef:UniRef50_A0A378ABN2
contig_2	cds	368094	368354	-	BBGPBF_01284	-	-	-	-	-	-
contig_2	cds	368341	368541	-	BBGPBF_01285	81.3	1.7e-20	0.894	0.808	0.627	UniRef:UniRef50_Q5E739
contig_2	cds	368738	369283	+	BBGPBF_01286	359.0	5.0e-127	1.0	0.948	0.994	UniRef:UniRef50_A0A0H3GIN7
contig_2	cds	369280	369693	+	BBGPBF_01287	182.0	3.6e-58	1.219	0.977	0.641	UniRef:UniRef50_P40711
contig_2	cds	369736	370434	+	BBGPBF_01288	362.0	1.9e-126	0.996	0.924	0.753	UniRef:UniRef50_P40710
contig_2	cds	370566	371408	-	BBGPBF_01289	359.0	1.3e-123	0.925	0.887	0.668	UniRef:UniRef50_P37056
contig_2	cds	371467	373185	-	BBGPBF_01290	840.0	6.8e-304	1.005	0.963	0.715	UniRef:UniRef50_G2H1A0
contig_2	cds	373298	374005	-	BBGPBF_01291	336.0	1.2e-115	1.0	0.880	0.681	UniRef:UniRef50_P28634
contig_2	cds	374002	374409	-	BBGPBF_01292	139.0	1.6e-41	1.104	1.028	0.544	UniRef:UniRef50_P69411
contig_2	cds	374517	375332	-	BBGPBF_01293	511.0	1.7e-186	1.0	1.0	0.956	BlastRules:WP_000874226
contig_2	cds	375376	376029	-	BBGPBF_01294	197.0	9.9e-62	0.968	0.933	0.500	UniRef:UniRef50_A0A8T4HFD4
contig_2	cds	376022	377053	-	BBGPBF_01295	630.0	7.2e-231	1.0	1.0	0.942	BlastRules:WP_000594016
contig_2	cds	377242	377808	+	BBGPBF_01296	280.0	4.5e-95	1.0	0.814	0.713	UniRef:UniRef50_P63228
contig_3	tRNA	3	76	-	BBGPBF_01297	78.3	-	-	-	-	-
contig_3	tRNA	81	173	-	BBGPBF_01298	83.4	-	-	-	-	-
contig_3	cds	496	681	-	BBGPBF_01299	108.0	1.2e-33	1.0	1.0	0.951	BlastRules:WP_002209449
contig_3	cds	1045	3672	-	BBGPBF_01300	1371.0	0.0	1.0	0.939	0.781	UniRef:UniRef50_Q8ZBT8
contig_3	cds	3923	4423	-	BBGPBF_01301	262.0	4.6e-89	1.0	0.927	0.759	UniRef:UniRef50_P33596
contig_3	cds	4491	5549	-	BBGPBF_01302	553.0	2.4e-198	0.935	0.940	0.848	UniRef:UniRef50_A0AA87C387
contig_3	cds	5640	6137	-	BBGPBF_01303	191.0	5.2e-61	0.982	1.0	0.605	UniRef:UniRef50_A0AAD2UXF8
contig_3	cds	6277	7155	-	BBGPBF_01304	539.0	2.7e-194	0.938	0.867	0.996	UniRef:UniRef50_E0SFD8
contig_3	cds	7163	8026	-	BBGPBF_01305	311.0	1.3e-104	0.972	0.906	0.624	UniRef:UniRef50_A0A285AXB9
contig_3	cds	8023	8700	-	BBGPBF_01306	355.0	1.7e-123	1.0	0.862	0.813	UniRef:UniRef50_A0A085G4E8
contig_3	cds	8697	8804	-	BBGPBF_01307	60.5	3.4e-13	1.0	1.0	0.943	UniRef:UniRef50_A0A0H3FKA9
contig_3	cds	9072	10151	-	BBGPBF_01308	585.0	1.9e-211	0.825	0.974	0.980	UniRef:UniRef50_A0A377Z6Z1
contig_3	cds	10428	10991	+	BBGPBF_01309	358.0	3.1e-126	1.0	0.908	0.930	UniRef:UniRef50_P56579
contig_3	cds	10988	11968	+	BBGPBF_01310	461.0	1.6e-163	0.801	1.004	0.935	UniRef:UniRef50_A0A379VKV7
contig_3	cds	11982	12344	+	BBGPBF_01311	162.0	5.3e-51	1.0	0.945	0.650	UniRef:UniRef50_A0A0D7LMP5
contig_3	cds	12357	13136	+	BBGPBF_01312	398.0	1.5e-139	1.0	0.932	0.799	UniRef:UniRef50_P05707
contig_3	cds	13294	13653	+	BBGPBF_01313	166.0	1.1e-52	0.882	1.0	0.743	UniRef:UniRef50_A0A376LAF6
contig_3	cds	13720	14493	+	BBGPBF_01314	453.0	2.0e-161	1.0	0.935	0.899	UniRef:UniRef50_A0A3P8JPI0
contig_3	cds	14486	15451	+	BBGPBF_01315	352.0	1.4e-119	0.984	0.943	0.551	UniRef:UniRef50_A0A0E3U4T5
contig_3	cds	15414	16964	-	BBGPBF_01316	759.0	4.2e-273	1.014	0.880	0.778	UniRef:UniRef50_P37013
contig_3	cds	17152	18600	+	BBGPBF_01317	858.0	1.4e-314	1.002	1.0	0.845	UniRef:UniRef50_G5GIV7
contig_3	cds	18597	19730	+	BBGPBF_01318	549.0	1.5e-195	1.042	0.995	0.728	UniRef:UniRef50_P37596
contig_3	cds	19827	20840	-	BBGPBF_01319	486.0	1.9e-171	0.988	0.893	0.715	UniRef:UniRef50_A0A8T6QIH9
contig_3	cds	20837	23071	-	BBGPBF_01320	936.0	0.0	0.989	0.944	0.681	UniRef:UniRef50_S3JIJ0
contig_3	cds	23080	23607	-	BBGPBF_01321	365.0	2.6e-129	0.994	0.926	1.0	UniRef:UniRef50_A0A3P2EL24
contig_3	cds	23744	24757	-	BBGPBF_01322	436.0	5.0e-153	0.864	0.983	0.732	UniRef:UniRef50_A0A3S4MHG1
contig_3	cds	25025	26467	+	BBGPBF_01323	808.0	4.3e-294	0.985	0.913	0.909	UniRef:UniRef50_P24241
contig_3	cds	26494	27918	+	BBGPBF_01324	621.0	3.0e-220	1.0	0.894	0.612	UniRef:UniRef50_P24240
contig_3	cds	28100	28408	+	BBGPBF_01325	169.0	2.7e-54	0.922	0.855	0.936	UniRef:UniRef50_A0A087FVB5
contig_3	cds	28405	28875	-	BBGPBF_01326	210.0	1.4e-68	0.987	0.880	0.643	UniRef:UniRef50_A0A085U8A5
contig_3	cds	28868	29278	-	BBGPBF_01327	190.0	1.1e-61	1.0	0.993	0.713	UniRef:UniRef50_A0A8I0MKL9
contig_3	cds	29275	30042	-	BBGPBF_01328	305.0	5.3e-103	0.894	0.857	0.667	UniRef:UniRef50_K4LIX1
contig_3	cds	30042	30584	-	BBGPBF_01329	270.0	9.5e-92	0.994	0.909	0.777	UniRef:UniRef50_P16432
contig_3	cds	30594	32303	-	BBGPBF_01330	1142.0	0.0	1.0	1.0	0.974	BlastRules:WP_001288122
contig_3	cds	32320	33243	-	BBGPBF_01331	517.0	3.3e-185	0.980	0.926	0.897	UniRef:UniRef50_P16430
contig_3	cds	33246	35072	-	BBGPBF_01332	912.0	0.0	0.814	1.0	0.992	UniRef:UniRef50_A0A378BUT0
contig_3	cds	35069	35677	-	BBGPBF_01333	262.0	1.3e-87	0.941	0.809	0.663	UniRef:UniRef50_P0AAK1
contig_3	cds	35760	36209	-	BBGPBF_01334	229.0	9.3e-77	1.0	0.961	0.732	UniRef:UniRef50_A0A659S3T9
contig_3	cds	36419	36763	+	BBGPBF_01335	172.0	3.4e-55	1.0	0.974	0.798	UniRef:UniRef50_A0A0F7HEE6
contig_3	cds	36767	37639	+	BBGPBF_01336	332.0	7.1e-112	1.121	0.937	0.560	UniRef:UniRef50_A0A5C1PZE3
contig_3	cds	37630	37902	+	BBGPBF_01337	124.0	5.3e-37	1.011	0.948	0.659	UniRef:UniRef50_A0A089Q2I1
contig_3	cds	37902	39023	+	BBGPBF_01338	444.0	3.0e-153	0.981	0.826	0.568	UniRef:UniRef50_A0A6L5Z5E1
contig_3	cds	39020	40030	+	BBGPBF_01339	454.0	2.2e-159	0.991	0.930	0.691	UniRef:UniRef50_A3N1X7
contig_3	cds	40267	42339	+	BBGPBF_01340	653.0	4.9e-226	1.029	0.943	0.518	UniRef:UniRef50_E5YKN8
contig_3	cds	42393	43793	-	BBGPBF_01341	760.0	9.5e-276	1.0	0.932	0.768	UniRef:UniRef50_A0A377KKV8
contig_3	cds	43844	46036	-	BBGPBF_01342	1444.0	0.0	1.019	1.0	0.970	UniRef:UniRef50_A6TD00
contig_3	cds	46049	47386	-	BBGPBF_01343	816.0	2.1e-298	1.0	0.931	0.840	UniRef:UniRef50_A0A264C906
contig_3	cds	47649	48920	-	BBGPBF_01344	517.0	4.9e-181	1.012	0.915	0.603	UniRef:UniRef50_A0A1M5VRR2
contig_3	cds	49098	49412	+	BBGPBF_01345	128.0	5.0e-38	0.962	0.962	0.670	UniRef:UniRef50_A0A443VQZ3
contig_3	cds	49422	50744	+	BBGPBF_01346	736.0	3.0e-268	1.0	1.106	0.902	UniRef:UniRef50_A0A919I1X7
contig_3	cds	50768	51082	+	BBGPBF_01347	123.0	4.8e-36	0.933	0.933	0.649	UniRef:UniRef50_A0A1R4B278
contig_3	cds	51133	52047	+	BBGPBF_01348	587.0	2.6e-212	1.145	1.0	0.856	UniRef:UniRef50_F4N5B0
contig_3	cds	52104	53066	+	BBGPBF_01349	467.0	1.5e-164	1.0	0.899	0.763	UniRef:UniRef50_A0A0H3GS80
contig_3	cds	53245	54162	+	BBGPBF_01350	372.0	6.0e-128	0.921	0.875	0.641	UniRef:UniRef50_A0A376AHF0
contig_3	cds	54159	54980	+	BBGPBF_01351	337.0	2.3e-115	0.927	0.927	0.688	UniRef:UniRef50_A0A377ZD83
contig_3	cds	54977	55825	+	BBGPBF_01352	466.0	6.2e-168	0.986	0.972	0.871	BlastRules:WP_001101723
contig_3	cds	55819	56673	+	BBGPBF_01353	278.0	2.2e-91	0.912	0.852	0.556	UniRef:UniRef50_A0A2P6G9I5
contig_3	cds	56740	57081	-	BBGPBF_01354	177.0	9.6e-57	0.991	0.806	0.714	UniRef:UniRef50_P25728
contig_3	cds	57149	58036	-	BBGPBF_01355	587.0	1.3e-213	1.0	1.0	0.997	UniRef:UniRef50_W9BNA4
contig_3	cds	58221	59162	+	BBGPBF_01356	485.0	1.7e-171	1.0	0.830	0.888	UniRef:UniRef50_A0A7U2ZTD1
contig_3	cds	59198	60907	+	BBGPBF_01357	1084.0	0.0	1.065	1.0	0.931	UniRef:UniRef50_A0A2X3CEK9
contig_3	cds	60947	61240	-	BBGPBF_01358	-	-	-	-	-	-
contig_3	cds	61456	63819	+	BBGPBF_01359	1550.0	0.0	0.992	0.826	0.990	UniRef:UniRef50_C6DIT8
contig_3	cds	63891	64922	+	BBGPBF_01360	374.0	2.3e-127	0.994	0.922	0.598	UniRef:UniRef50_Q56990
contig_3	cds	64919	65737	+	BBGPBF_01361	501.0	9.4e-180	1.0	0.869	0.978	UniRef:UniRef50_A0AAN3RVH2
contig_3	cds	65737	66732	+	BBGPBF_01362	362.0	4.1e-123	0.879	0.851	0.667	UniRef:UniRef50_A0A0J1LP30
contig_3	cds	66725	67504	+	BBGPBF_01363	482.0	1.4e-172	0.923	0.824	1.0	UniRef:UniRef50_A0A6N3G310
contig_3	cds	67759	68265	+	BBGPBF_01364	226.0	1.2e-74	0.952	0.874	0.681	UniRef:UniRef50_X5FUJ5
contig_3	cds	69327	69416	+	BBGPBF_01365	-	-	-	-	-	-
contig_3	cds	70183	73995	+	BBGPBF_01366	1498.0	0.0	1.001	1.001	0.594	UniRef:UniRef50_A0AAW7CPW6
contig_3	cds	74315	74752	+	BBGPBF_01367	213.0	2.9e-70	0.972	0.904	0.716	UniRef:UniRef50_A0A3F3IML6
contig_3	cds	75471	76670	+	BBGPBF_01368	709.0	6.3e-258	0.995	0.943	0.907	UniRef:UniRef50_A0AAV3KW32
contig_3	cds	76850	77122	+	BBGPBF_01369	119.0	5.2e-35	1.078	1.0	0.639	UniRef:UniRef50_A9MGR0
contig_3	cds	77255	77680	-	BBGPBF_01370	174.0	6.6e-55	0.993	0.940	0.643	UniRef:UniRef50_A0A7H9FVQ4
contig_3	cds	78594	79109	+	BBGPBF_01371	234.0	2.6e-77	0.988	0.820	0.698	UniRef:UniRef50_A7ZQ80
contig_3	cds	79237	80220	-	BBGPBF_01372	452.0	3.2e-159	0.985	0.979	0.705	UniRef:UniRef50_A0A552X4G2
contig_3	cds	80286	80438	-	BBGPBF_01373	-	-	-	-	-	-
contig_3	cds	80380	80964	-	BBGPBF_01374	223.0	2.2e-72	0.985	0.884	0.581	UniRef:UniRef50_A0A1V2GE93
contig_3	cds	80976	82433	-	BBGPBF_01375	489.0	5.8e-168	1.014	0.935	0.528	UniRef:UniRef50_A0A286BVZ6
contig_3	cds	82580	85147	+	BBGPBF_01376	1393.0	0.0	1.0	0.922	0.836	UniRef:UniRef50_P23909
contig_3	cds	85266	85418	-	BBGPBF_01377	61.2	4.3e-13	1.0	1.0	0.680	UniRef:UniRef50_Q8X7U9
contig_3	ncRNA	85403	85559	-	BBGPBF_01378	99.4	4.5e-16	-	-	-	RFAM:RF01794
contig_3	cds	85757	85993	-	BBGPBF_01379	132.0	1.1e-40	0.936	0.973	0.822	UniRef:UniRef50_A0A2X1QH26
contig_3	cds	86004	87431	-	BBGPBF_01380	625.0	2.2e-222	0.996	0.967	0.645	UniRef:UniRef50_A0A1M6ATN9
