Gene,Non-unique Gene name,Annotation,KP1766,KP1768,NJST258_1,NR5632,SRR7345603
ylaC,ylaC,Inner membrane protein YlaC,MFCJNMFM_03865,JIEPOILB_03869,MHMAIFBA_03931,KGLDIDPM_03869,CFOCILDN_02522
sorB_1,sorB_1,PTS system sorbose-specific EIIB component,MFCJNMFM_03742,JIEPOILB_03746,MHMAIFBA_03733,KGLDIDPM_03746,CFOCILDN_03680
mngA,mngA,PTS system 2-O-alpha-mannosyl-D-glycerate-specific EIIABC component,MFCJNMFM_02598,JIEPOILB_02662,MHMAIFBA_02546,KGLDIDPM_02600,CFOCILDN_00476
group_1058,,hypothetical protein,MFCJNMFM_01729,JIEPOILB_01729,MHMAIFBA_01695,KGLDIDPM_01726,CFOCILDN_03300
bcp,bcp,Peroxiredoxin Bcp,MFCJNMFM_01399,JIEPOILB_01400,MHMAIFBA_01441,KGLDIDPM_01397,CFOCILDN_03119
hycI,hycI,Hydrogenase 3 maturation protease,MFCJNMFM_01136,JIEPOILB_01136,MHMAIFBA_01124,KGLDIDPM_01135,CFOCILDN_01312
argR,argR,Arginine repressor,MFCJNMFM_00538,JIEPOILB_00539,MHMAIFBA_00490,KGLDIDPM_00538,CFOCILDN_01903
rpsG,rpsG,Small ribosomal subunit protein uS7,MFCJNMFM_00434,JIEPOILB_00434,MHMAIFBA_00385,KGLDIDPM_00433,CFOCILDN_04528
group_1057,,hypothetical protein,MFCJNMFM_00076,JIEPOILB_00076,MHMAIFBA_00076,KGLDIDPM_00076,CFOCILDN_04373
yjjB,yjjB,putative succinate transporter subunit YjjB,MFCJNMFM_04372,JIEPOILB_04376,MHMAIFBA_04423,KGLDIDPM_04376,CFOCILDN_01027
group_1054,,hypothetical protein,MFCJNMFM_04333,JIEPOILB_04337,MHMAIFBA_04384,KGLDIDPM_04337,CFOCILDN_01064
ybeY,ybeY,Endoribonuclease YbeY,MFCJNMFM_03555,JIEPOILB_03559,MHMAIFBA_03598,KGLDIDPM_03559,CFOCILDN_04459
mntR,mntR,Transcriptional regulator MntR,MFCJNMFM_03435,JIEPOILB_03439,MHMAIFBA_03442,KGLDIDPM_03439,CFOCILDN_02122
mgsA,mgsA,Methylglyoxal synthase,MFCJNMFM_03291,JIEPOILB_03295,MHMAIFBA_03251,KGLDIDPM_03295,CFOCILDN_01936
sbmC,sbmC,DNA gyrase inhibitor,MFCJNMFM_01814,JIEPOILB_01820,MHMAIFBA_01790,KGLDIDPM_01817,CFOCILDN_02182
smg,smg,Protein Smg,MFCJNMFM_00475,JIEPOILB_00476,MHMAIFBA_00426,KGLDIDPM_00475,CFOCILDN_04826
trmL_1,trmL_1,tRNA (cytidine(34)-2'-O)-methyltransferase,MFCJNMFM_00207,JIEPOILB_00207,MHMAIFBA_00159,KGLDIDPM_00206,CFOCILDN_02851
group_1048,,hypothetical protein,MFCJNMFM_04494,JIEPOILB_04498,MHMAIFBA_04704,KGLDIDPM_04498,CFOCILDN_03052
group_1047,,hypothetical protein,MFCJNMFM_03928,JIEPOILB_03932,MHMAIFBA_03994,KGLDIDPM_03932,CFOCILDN_02585
group_1046,,hypothetical protein,MFCJNMFM_03485,JIEPOILB_03489,MHMAIFBA_03493,KGLDIDPM_03489,CFOCILDN_02172
group_1045,,hypothetical protein,MFCJNMFM_02269,JIEPOILB_02992,MHMAIFBA_02221,KGLDIDPM_02272,4_refound_11
group_1044,,hypothetical protein,MFCJNMFM_02069,JIEPOILB_03192,MHMAIFBA_02003,KGLDIDPM_02072,CFOCILDN_02370
ureE,ureE,Urease accessory protein UreE,MFCJNMFM_00710,JIEPOILB_00711,MHMAIFBA_00661,KGLDIDPM_00710,CFOCILDN_01731
greA,greA,Transcription elongation factor GreA,MFCJNMFM_00583,JIEPOILB_00584,MHMAIFBA_00535,KGLDIDPM_00583,CFOCILDN_01858
bfr,bfr,Bacterioferritin,MFCJNMFM_00438,JIEPOILB_00438,MHMAIFBA_00389,KGLDIDPM_00437,CFOCILDN_04863
group_1041,,hypothetical protein,MFCJNMFM_00269,JIEPOILB_00269,MHMAIFBA_00221,KGLDIDPM_00268,CFOCILDN_02791
group_1035,,IS1595 family transposase ISSsu9,MFCJNMFM_04284,JIEPOILB_04288,MHMAIFBA_04335,KGLDIDPM_04288,CFOCILDN_01113
folK,folK,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase,MFCJNMFM_04187,JIEPOILB_04191,MHMAIFBA_04235,KGLDIDPM_04191,CFOCILDN_01210
ybaK,ybaK,Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK,MFCJNMFM_03842,JIEPOILB_03846,MHMAIFBA_03908,KGLDIDPM_03846,CFOCILDN_02499
ybjN,ybjN,putative protein YbjN,MFCJNMFM_03396,JIEPOILB_03400,MHMAIFBA_03356,KGLDIDPM_03400,CFOCILDN_02040
lrp_1,lrp_1,Leucine-responsive regulatory protein,MFCJNMFM_02912,JIEPOILB_02348,MHMAIFBA_02817,KGLDIDPM_02914,CFOCILDN_00162
group_1034,,hypothetical protein,MFCJNMFM_02847,JIEPOILB_02413,MHMAIFBA_02752,KGLDIDPM_02849,CFOCILDN_00227
rutC_1,rutC_1,3-aminoacrylate deaminase RutC,MFCJNMFM_02299,JIEPOILB_02962,MHMAIFBA_02251,KGLDIDPM_02301,CFOCILDN_00774
eutP,eutP,putative acetate kinase EutP,MFCJNMFM_01418,JIEPOILB_01419,MHMAIFBA_01460,KGLDIDPM_01416,CFOCILDN_03100
rseC,rseC,Protein RseC,MFCJNMFM_01253,JIEPOILB_01253,MHMAIFBA_01310,KGLDIDPM_01251,CFOCILDN_03202
ispF,ispF,2-C-methyl-D-erythritol 24-cyclodiphosphate synthase,MFCJNMFM_01071,JIEPOILB_01071,MHMAIFBA_01069,KGLDIDPM_01070,CFOCILDN_01376
group_1033,,hypothetical protein,MFCJNMFM_00924,JIEPOILB_00925,MHMAIFBA_00941,KGLDIDPM_00924,CFOCILDN_01518
coaD,coaD,Phosphopantetheine adenylyltransferase,MFCJNMFM_00182,JIEPOILB_00182,MHMAIFBA_00134,KGLDIDPM_00181,CFOCILDN_02877
ycdZ,ycdZ,Inner membrane protein YcdZ,MFCJNMFM_03222,JIEPOILB_02038,MHMAIFBA_03191,KGLDIDPM_03226,CFOCILDN_03425
gpx1,gpx1,Hydroperoxy fatty acid reductase gpx1,MFCJNMFM_03091,JIEPOILB_02169,MHMAIFBA_03069,KGLDIDPM_03095,CFOCILDN_04315
spy,spy,Periplasmic chaperone Spy,MFCJNMFM_03053,JIEPOILB_02207,MHMAIFBA_03023,KGLDIDPM_03056,CFOCILDN_00021
group_1028,,hypothetical protein,MFCJNMFM_02714,JIEPOILB_02546,MHMAIFBA_02647,KGLDIDPM_02716,CFOCILDN_00360
hcpA_3,hcpA_3,Major exported protein,MFCJNMFM_02702,JIEPOILB_02558,MHMAIFBA_02635,KGLDIDPM_02704,4_refound_14
group_1027,,hypothetical protein,MFCJNMFM_02074,JIEPOILB_03187,MHMAIFBA_02008,KGLDIDPM_02077,CFOCILDN_02375
group_1026,,hypothetical protein,MFCJNMFM_01484,JIEPOILB_01485,MHMAIFBA_01525,KGLDIDPM_01482,CFOCILDN_04560
yfiB,yfiB,Outer-membrane lipoprotein YfiB,MFCJNMFM_01222,JIEPOILB_01222,MHMAIFBA_01278,KGLDIDPM_01220,CFOCILDN_03986
smpB,smpB,SsrA-binding protein,MFCJNMFM_01206,JIEPOILB_01206,MHMAIFBA_01262,KGLDIDPM_01204,CFOCILDN_03970
rraA,rraA,Regulator of ribonuclease activity A,MFCJNMFM_04996,JIEPOILB_04999,MHMAIFBA_04954,KGLDIDPM_04999,CFOCILDN_03841
pulM,pulM,Type II secretion system protein M,MFCJNMFM_04178,JIEPOILB_04182,MHMAIFBA_04226,KGLDIDPM_04182,CFOCILDN_01219
skp,skp,Chaperone protein Skp,MFCJNMFM_04138,JIEPOILB_04142,MHMAIFBA_04186,KGLDIDPM_04142,CFOCILDN_01259
group_1020,,hypothetical protein,MFCJNMFM_03546,JIEPOILB_03550,MHMAIFBA_03607,KGLDIDPM_03550,CFOCILDN_04450
cbdB,cbdB,2-halobenzoate 12-dioxygenase small subunit,MFCJNMFM_02471,JIEPOILB_02789,MHMAIFBA_02416,KGLDIDPM_02473,CFOCILDN_00603
rhaS_1,rhaS_1,HTH-type transcriptional activator RhaS,MFCJNMFM_02343,JIEPOILB_02918,MHMAIFBA_02292,KGLDIDPM_02345,CFOCILDN_00730
eutK,eutK,Bacterial microcompartment shell protein EutK,MFCJNMFM_01433,JIEPOILB_01434,MHMAIFBA_01474,KGLDIDPM_01431,CFOCILDN_03086
aegA_1,aegA_1,Putative oxidoreductase AegA,MFCJNMFM_00221,JIEPOILB_00221,MHMAIFBA_00173,KGLDIDPM_00220,CFOCILDN_02837
rfaH,rfaH,Transcription antitermination protein RfaH,MFCJNMFM_04884,JIEPOILB_04887,MHMAIFBA_04843,KGLDIDPM_04887,CFOCILDN_04180
group_1014,,hypothetical protein,MFCJNMFM_04782,JIEPOILB_04786,MHMAIFBA_04745,KGLDIDPM_04786,CFOCILDN_03565
moaC,moaC,Cyclic pyranopterin monophosphate synthase,MFCJNMFM_03470,JIEPOILB_03474,MHMAIFBA_03478,KGLDIDPM_03474,CFOCILDN_02157
ybjO,ybjO,Inner membrane protein YbjO,MFCJNMFM_03391,JIEPOILB_03395,MHMAIFBA_03351,KGLDIDPM_03395,CFOCILDN_02035
group_1013,,hypothetical protein,MFCJNMFM_02311,JIEPOILB_02950,MHMAIFBA_02261,KGLDIDPM_02313,CFOCILDN_00762
cvpA,cvpA,Colicin V production protein,MFCJNMFM_01588,JIEPOILB_01589,MHMAIFBA_01553,KGLDIDPM_01586,CFOCILDN_04146
ptsN,ptsN,Nitrogen regulatory protein,MFCJNMFM_00560,JIEPOILB_00561,MHMAIFBA_00512,KGLDIDPM_00560,CFOCILDN_01881
mreD,mreD,Rod shape-determining protein MreD,MFCJNMFM_00526,JIEPOILB_00527,MHMAIFBA_00477,KGLDIDPM_00526,CFOCILDN_01915
aaaT,aaaT,L-amino acid N-acetyltransferase AaaT,MFCJNMFM_00353,JIEPOILB_00353,MHMAIFBA_00304,KGLDIDPM_00352,CFOCILDN_02708
group_1011,,hypothetical protein,MFCJNMFM_04375,JIEPOILB_04379,MHMAIFBA_04426,KGLDIDPM_04379,CFOCILDN_01024
ilvH,ilvH,Acetolactate synthase isozyme 3 small subunit,MFCJNMFM_04246,JIEPOILB_04250,MHMAIFBA_04297,KGLDIDPM_04250,CFOCILDN_01151
yajQ,yajQ,Nucleotide-binding protein YajQ,MFCJNMFM_03925,JIEPOILB_03929,MHMAIFBA_03991,KGLDIDPM_03929,CFOCILDN_02582
ybaY,ybaY,putative lipoprotein YbaY,MFCJNMFM_03888,JIEPOILB_03892,MHMAIFBA_03954,KGLDIDPM_03892,CFOCILDN_02545
hcpA_4,hcpA_4,Major exported protein,MFCJNMFM_02951,JIEPOILB_02309,MHMAIFBA_02857,KGLDIDPM_02953,CFOCILDN_00123
eco,eco,Ecotin,MFCJNMFM_01663,JIEPOILB_01663,MHMAIFBA_01628,KGLDIDPM_01660,CFOCILDN_03234
iscR,iscR,HTH-type transcriptional regulator IscR,MFCJNMFM_01348,JIEPOILB_01349,MHMAIFBA_01342,KGLDIDPM_01346,CFOCILDN_03170
pduM,pduM,Bacterial microcompartment assembly protein PduM,MFCJNMFM_00958,JIEPOILB_00959,MHMAIFBA_00975,KGLDIDPM_00958,CFOCILDN_01484
sorB_3,sorB_3,PTS system sorbose-specific EIIB component,MFCJNMFM_04814,JIEPOILB_04818,MHMAIFBA_04776,KGLDIDPM_04818,CFOCILDN_03595
ppiB,ppiB,Peptidyl-prolyl cis-trans isomerase B,MFCJNMFM_03824,JIEPOILB_03828,MHMAIFBA_03889,KGLDIDPM_03828,CFOCILDN_02480
lrp_3,lrp_3,Leucine-responsive regulatory protein,MFCJNMFM_03358,JIEPOILB_03362,MHMAIFBA_03318,KGLDIDPM_03362,CFOCILDN_02003
rutF,rutF,FMN reductase (NADH) RutF,MFCJNMFM_03248,JIEPOILB_02012,MHMAIFBA_03216,KGLDIDPM_03252,CFOCILDN_03451
yciF,yciF,Protein YciF,MFCJNMFM_03128,JIEPOILB_02132,MHMAIFBA_03106,KGLDIDPM_03132,CFOCILDN_04278
group_1008,,hypothetical protein,MFCJNMFM_01606,JIEPOILB_01607,MHMAIFBA_01571,KGLDIDPM_01604,CFOCILDN_04128
group_1007,,hypothetical protein,MFCJNMFM_00757,JIEPOILB_00758,MHMAIFBA_00708,KGLDIDPM_00757,CFOCILDN_01685
sspB,sspB,Stringent starvation protein B,MFCJNMFM_00547,JIEPOILB_00548,MHMAIFBA_00499,KGLDIDPM_00547,CFOCILDN_01894
rplJ,rplJ,Large ribosomal subunit protein uL10,MFCJNMFM_04858,JIEPOILB_04861,MHMAIFBA_04819,KGLDIDPM_04861,CFOCILDN_04765
rsd,rsd,Regulator of sigma D,MFCJNMFM_04843,JIEPOILB_04847,MHMAIFBA_04804,KGLDIDPM_04847,CFOCILDN_04779
ubiC,ubiC,Chorismate pyruvate-lyase,MFCJNMFM_04790,JIEPOILB_04794,MHMAIFBA_04753,KGLDIDPM_04794,CFOCILDN_03573
ftnA_1,ftnA_1,Bacterial non-heme ferritin,MFCJNMFM_01882,JIEPOILB_01888,MHMAIFBA_01884,KGLDIDPM_01885,CFOCILDN_02250
vsr,vsr,DNA mismatch endonuclease Vsr,MFCJNMFM_01857,JIEPOILB_01863,MHMAIFBA_01859,KGLDIDPM_01860,CFOCILDN_02225
pncC_1,pncC_1,Nicotinamide-nucleotide amidohydrolase PncC,MFCJNMFM_01159,JIEPOILB_01159,MHMAIFBA_01147,KGLDIDPM_01158,CFOCILDN_01289
lspA,lspA,Lipoprotein signal peptidase,MFCJNMFM_04308,JIEPOILB_04312,MHMAIFBA_04359,KGLDIDPM_04312,CFOCILDN_01089
proXpy,proXp-y,Multifunctional Ser/Thr-tRNA deacylase ProXp-y,MFCJNMFM_03102,JIEPOILB_02158,MHMAIFBA_03080,KGLDIDPM_03106,CFOCILDN_04304
yabI_1,yabI_1,Inner membrane protein YabI,MFCJNMFM_02896,JIEPOILB_02364,MHMAIFBA_02801,KGLDIDPM_02898,CFOCILDN_00178
uao,uao,Uric acid degradation bifunctional protein,MFCJNMFM_02677,JIEPOILB_02583,MHMAIFBA_02611,KGLDIDPM_02679,CFOCILDN_00396
nuoE,nuoE,NADH-quinone oxidoreductase subunit E,MFCJNMFM_01615,JIEPOILB_01616,MHMAIFBA_01580,KGLDIDPM_01613,CFOCILDN_04119
recX,recX,Regulatory protein RecX,MFCJNMFM_01161,JIEPOILB_01161,MHMAIFBA_01149,KGLDIDPM_01160,CFOCILDN_01287
fimG,fimG,Protein FimG,MFCJNMFM_00878,JIEPOILB_00879,MHMAIFBA_00894,KGLDIDPM_00878,CFOCILDN_01563
ygjP,ygjP,UTP pyrophosphatase,MFCJNMFM_00663,JIEPOILB_00664,MHMAIFBA_00614,KGLDIDPM_00663,CFOCILDN_01778
group_999,,hypothetical protein,MFCJNMFM_00024,JIEPOILB_00024,MHMAIFBA_00024,KGLDIDPM_00024,CFOCILDN_03782
cpxP,cpxP,Periplasmic protein CpxP,MFCJNMFM_04999,JIEPOILB_05002,MHMAIFBA_04957,KGLDIDPM_05002,CFOCILDN_03844
group_996,,hypothetical protein,MFCJNMFM_04634,JIEPOILB_04638,MHMAIFBA_04571,KGLDIDPM_04638,CFOCILDN_02915
secM,secM,Secretion monitor,MFCJNMFM_04228,JIEPOILB_04232,MHMAIFBA_04279,KGLDIDPM_04232,CFOCILDN_01169
pgpA,pgpA,Phosphatidylglycerophosphatase A,MFCJNMFM_03934,JIEPOILB_03938,MHMAIFBA_04000,KGLDIDPM_03938,CFOCILDN_02591
dps,dps,DNA protection during starvation protein,MFCJNMFM_03440,JIEPOILB_03444,MHMAIFBA_03447,KGLDIDPM_03444,CFOCILDN_02127
group_995,,hypothetical protein,MFCJNMFM_02506,JIEPOILB_02754,MHMAIFBA_02450,KGLDIDPM_02508,CFOCILDN_00568
group_993,,hypothetical protein,MFCJNMFM_00610,JIEPOILB_00611,MHMAIFBA_00562,KGLDIDPM_00610,CFOCILDN_01831
rpsE,rpsE,Small ribosomal subunit protein uS5,MFCJNMFM_00458,JIEPOILB_00458,MHMAIFBA_00409,KGLDIDPM_00457,CFOCILDN_04843
mobB,mobB,Molybdopterin-guanine dinucleotide biosynthesis adapter protein,MFCJNMFM_05056,JIEPOILB_05059,MHMAIFBA_05014,KGLDIDPM_05059,CFOCILDN_03901
yihI,yihI,Der GTPase-activating protein YihI,MFCJNMFM_05048,JIEPOILB_05051,MHMAIFBA_05006,KGLDIDPM_05051,CFOCILDN_03893
group_987,,hypothetical protein,MFCJNMFM_03661,JIEPOILB_03665,MHMAIFBA_03503,KGLDIDPM_03665,CFOCILDN_04708
yciE_2,yciE_2,Protein YciE,MFCJNMFM_03127,JIEPOILB_02133,MHMAIFBA_03105,KGLDIDPM_03131,CFOCILDN_04279
tpx,tpx,Thiol peroxidase,MFCJNMFM_02971,JIEPOILB_02289,MHMAIFBA_02937,KGLDIDPM_02973,CFOCILDN_00103
yciE_1,yciE_1,Protein YciE,MFCJNMFM_02500,JIEPOILB_02760,MHMAIFBA_02444,KGLDIDPM_02502,CFOCILDN_00574
pecS,pecS,HTH-type transcriptional regulator PecS,MFCJNMFM_00887,JIEPOILB_00888,MHMAIFBA_00903,KGLDIDPM_00887,CFOCILDN_01554
mug,mug,G/U mismatch-specific DNA glycosylase,MFCJNMFM_00702,JIEPOILB_00703,MHMAIFBA_00653,KGLDIDPM_00702,CFOCILDN_01739
padC,padC,Phenolic acid decarboxylase PadC,MFCJNMFM_00311,JIEPOILB_00311,MHMAIFBA_00263,KGLDIDPM_00310,CFOCILDN_02749
group_981,,hypothetical protein,MFCJNMFM_04804,JIEPOILB_04808,MHMAIFBA_04766,KGLDIDPM_04808,CFOCILDN_03585
purE,purE,N5-carboxyaminoimidazole ribonucleotide mutase,MFCJNMFM_03827,JIEPOILB_03831,MHMAIFBA_03892,KGLDIDPM_03831,CFOCILDN_02483
sulA,sulA,Cell division inhibitor SulA,MFCJNMFM_03296,JIEPOILB_03300,MHMAIFBA_03256,KGLDIDPM_03300,CFOCILDN_01941
group_979,,hypothetical protein,MFCJNMFM_03107,JIEPOILB_02153,MHMAIFBA_03085,KGLDIDPM_03111,CFOCILDN_04299
group_978,,hypothetical protein,MFCJNMFM_02441,JIEPOILB_02819,MHMAIFBA_02389,KGLDIDPM_02443,CFOCILDN_00633
ftnA_2,ftnA_2,Bacterial non-heme ferritin,MFCJNMFM_01887,JIEPOILB_01893,MHMAIFBA_01889,KGLDIDPM_01890,CFOCILDN_02255
crr,crr,PTS system glucose-specific EIIA component,MFCJNMFM_01450,JIEPOILB_01451,MHMAIFBA_01491,KGLDIDPM_01448,CFOCILDN_03069
tadA,tadA,tRNA-specific adenosine deaminase,MFCJNMFM_01327,JIEPOILB_01328,MHMAIFBA_01321,KGLDIDPM_01325,CFOCILDN_03191
yfiR,yfiR,Negative regulator YfiR,MFCJNMFM_01224,JIEPOILB_01224,MHMAIFBA_01280,KGLDIDPM_01222,CFOCILDN_03988
def,def,Peptide deformylase,MFCJNMFM_00473,JIEPOILB_00474,MHMAIFBA_00424,KGLDIDPM_00473,CFOCILDN_04828
hpaC,hpaC,4-hydroxyphenylacetate 3-monooxygenase reductase component,MFCJNMFM_04414,JIEPOILB_04418,MHMAIFBA_04463,KGLDIDPM_04418,CFOCILDN_00985
moaB,moaB,Molybdenum cofactor biosynthesis protein B,MFCJNMFM_03471,JIEPOILB_03475,MHMAIFBA_03479,KGLDIDPM_03475,CFOCILDN_02158
ompX,ompX,Outer membrane protein X,MFCJNMFM_03438,JIEPOILB_03442,MHMAIFBA_03445,KGLDIDPM_03442,CFOCILDN_02125
zur,zur,Zinc uptake regulation protein,MFCJNMFM_04783,JIEPOILB_04787,MHMAIFBA_04746,KGLDIDPM_04787,CFOCILDN_03566
ybjP,ybjP,putative lipoprotein YbjP,MFCJNMFM_03382,JIEPOILB_03386,MHMAIFBA_03342,KGLDIDPM_03386,CFOCILDN_02026
ogt,ogt,Methylated-DNA--protein-cysteine methyltransferase,MFCJNMFM_02823,JIEPOILB_02437,MHMAIFBA_02729,KGLDIDPM_02825,CFOCILDN_00251
group_973,,hypothetical protein,MFCJNMFM_02328,JIEPOILB_02933,MHMAIFBA_02278,KGLDIDPM_02330,CFOCILDN_00745
hscB,hscB,Co-chaperone protein HscB,MFCJNMFM_01352,JIEPOILB_01353,MHMAIFBA_01346,KGLDIDPM_01350,CFOCILDN_03166
luxS,luxS,S-ribosylhomocysteine lyase,MFCJNMFM_01172,JIEPOILB_01172,MHMAIFBA_01161,KGLDIDPM_01170,CFOCILDN_03907
pagP,pagP,Lipid A acyltransferase PagP,MFCJNMFM_03526,JIEPOILB_03530,MHMAIFBA_03627,KGLDIDPM_03530,CFOCILDN_04430
fabA,fabA,3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase,MFCJNMFM_03300,JIEPOILB_03304,MHMAIFBA_03260,KGLDIDPM_03304,CFOCILDN_01945
mnaT,mnaT,L-amino acid N-acyltransferase MnaT,MFCJNMFM_02425,JIEPOILB_02835,MHMAIFBA_02373,KGLDIDPM_02427,CFOCILDN_00649
yceD,yceD,Large ribosomal RNA subunit accumulation protein YceD,MFCJNMFM_03195,JIEPOILB_02065,MHMAIFBA_03163,KGLDIDPM_03199,CFOCILDN_03398
sodC,sodC,Superoxide dismutase [Cu-Zn],MFCJNMFM_02352,JIEPOILB_02909,MHMAIFBA_02301,KGLDIDPM_02354,CFOCILDN_00721
ruvC,ruvC,Crossover junction endodeoxyribonuclease RuvC,MFCJNMFM_01973,JIEPOILB_03287,MHMAIFBA_01909,KGLDIDPM_01976,CFOCILDN_02275
fldB,fldB,Flavodoxin 2,MFCJNMFM_00846,JIEPOILB_00847,MHMAIFBA_00863,KGLDIDPM_00846,CFOCILDN_01595
group_965,,hypothetical protein,MFCJNMFM_00439,JIEPOILB_00439,MHMAIFBA_00390,KGLDIDPM_00438,CFOCILDN_04862
aroK,aroK,Shikimate kinase 1,MFCJNMFM_00398,JIEPOILB_00398,MHMAIFBA_00349,KGLDIDPM_00397,CFOCILDN_04492
ssb1,ssb1,Single-stranded DNA-binding protein 1,MFCJNMFM_04771,JIEPOILB_04775,MHMAIFBA_04733,KGLDIDPM_04775,CFOCILDN_03554
pal_4,pal_4,Peptidoglycan-associated lipoprotein,MFCJNMFM_03618,JIEPOILB_03622,MHMAIFBA_03537,KGLDIDPM_03622,CFOCILDN_04634
pduE_2,pduE_2,Propanediol dehydratase small subunit,MFCJNMFM_00964,JIEPOILB_00965,MHMAIFBA_00981,KGLDIDPM_00964,CFOCILDN_01478
ubiT,ubiT,Ubiquinone biosynthesis accessory factor UbiT,MFCJNMFM_00609,JIEPOILB_00610,MHMAIFBA_00561,KGLDIDPM_00609,CFOCILDN_01832
priC,priC,Replication restart protein PriC,MFCJNMFM_03855,JIEPOILB_03859,MHMAIFBA_03921,KGLDIDPM_03859,CFOCILDN_02512
ymdB,ymdB,O-acetyl-ADP-ribose deacetylase,MFCJNMFM_03221,JIEPOILB_02039,MHMAIFBA_03190,KGLDIDPM_03225,CFOCILDN_03424
cybB,cybB,Superoxide oxidase CybB,MFCJNMFM_02383,JIEPOILB_02878,MHMAIFBA_02332,KGLDIDPM_02385,CFOCILDN_00690
group_963,,hypothetical protein,MFCJNMFM_02312,JIEPOILB_02949,MHMAIFBA_02262,KGLDIDPM_02314,CFOCILDN_00761
tdk,tdk,Thymidine kinase,MFCJNMFM_02138,JIEPOILB_03123,MHMAIFBA_02090,KGLDIDPM_02141,CFOCILDN_00931
aegA_2,aegA_2,Putative oxidoreductase AegA,MFCJNMFM_01141,JIEPOILB_01141,MHMAIFBA_01129,KGLDIDPM_01140,CFOCILDN_01307
fimF,fimF,Protein FimF,MFCJNMFM_00879,JIEPOILB_00880,MHMAIFBA_00895,KGLDIDPM_00879,CFOCILDN_01562
group_961,,hypothetical protein,MFCJNMFM_00747,JIEPOILB_00748,MHMAIFBA_00698,KGLDIDPM_00747,CFOCILDN_01695
hslV,hslV,ATP-dependent protease subunit HslV,MFCJNMFM_04993,JIEPOILB_04996,MHMAIFBA_04951,KGLDIDPM_04996,CFOCILDN_03838
ppa_2,ppa_2,Inorganic pyrophosphatase,MFCJNMFM_04588,JIEPOILB_04592,MHMAIFBA_04617,KGLDIDPM_04592,CFOCILDN_02961
fldA,fldA,Flavodoxin,MFCJNMFM_03578,JIEPOILB_03582,MHMAIFBA_03577,KGLDIDPM_03582,CFOCILDN_04594
group_958,,hypothetical protein,MFCJNMFM_02942,JIEPOILB_02318,MHMAIFBA_02849,KGLDIDPM_02944,CFOCILDN_00132
ttr,ttr,Acetyltransferase,MFCJNMFM_02708,JIEPOILB_02552,MHMAIFBA_02641,KGLDIDPM_02710,CFOCILDN_00366
dsbB,dsbB,Disulfide bond formation protein B,MFCJNMFM_02039,JIEPOILB_03222,MHMAIFBA_01974,KGLDIDPM_02042,CFOCILDN_02340
mprA,mprA,Transcriptional repressor MprA,MFCJNMFM_01177,JIEPOILB_01177,MHMAIFBA_01166,KGLDIDPM_01175,CFOCILDN_03912
rppH_2,rppH_2,RNA pyrophosphohydrolase,MFCJNMFM_00932,JIEPOILB_00933,MHMAIFBA_00949,KGLDIDPM_00932,CFOCILDN_01510
group_956,,hypothetical protein,MFCJNMFM_00807,JIEPOILB_00808,MHMAIFBA_00824,KGLDIDPM_00807,CFOCILDN_01635
pduO_1,pduO_1,Corrinoid adenosyltransferase PduO,MFCJNMFM_00685,JIEPOILB_00686,MHMAIFBA_00636,KGLDIDPM_00685,CFOCILDN_01756
gntK,gntK,Thermoresistant gluconokinase,MFCJNMFM_00358,JIEPOILB_00358,MHMAIFBA_00309,KGLDIDPM_00357,CFOCILDN_02703
atpH,atpH,ATP synthase subunit delta,MFCJNMFM_05081,JIEPOILB_05084,MHMAIFBA_05038,KGLDIDPM_05084,CFOCILDN_03734
hemG,hemG,Protoporphyrinogen IX dehydrogenase [quinone],MFCJNMFM_04876,JIEPOILB_04879,MHMAIFBA_04835,KGLDIDPM_04879,CFOCILDN_04172
blc_2,blc_2,Outer membrane lipoprotein Blc,MFCJNMFM_04514,JIEPOILB_04518,MHMAIFBA_04686,KGLDIDPM_04518,CFOCILDN_03032
blc_1,blc_1,Outer membrane lipoprotein Blc,MFCJNMFM_04474,JIEPOILB_04478,MHMAIFBA_04511,KGLDIDPM_04478,CFOCILDN_04897
tacT3,tacT3,tRNA-acetylating toxin 3,MFCJNMFM_04465,JIEPOILB_04469,MHMAIFBA_04502,KGLDIDPM_04469,CFOCILDN_04888
kefF_2,kefF_2,Glutathione-regulated potassium-efflux system ancillary protein KefF,MFCJNMFM_04286,JIEPOILB_04290,MHMAIFBA_04337,KGLDIDPM_04290,CFOCILDN_01111
rutB_2,rutB_2,Ureidoacrylate amidohydrolase RutB,MFCJNMFM_03987,JIEPOILB_03991,MHMAIFBA_04053,KGLDIDPM_03991,CFOCILDN_02643
aroL,aroL,Shikimate kinase 2,MFCJNMFM_03973,JIEPOILB_03977,MHMAIFBA_04039,KGLDIDPM_03977,CFOCILDN_02629
group_953,,hypothetical protein,MFCJNMFM_02584,JIEPOILB_02676,MHMAIFBA_02532,KGLDIDPM_02586,CFOCILDN_00490
rplF,rplF,Large ribosomal subunit protein uL6,MFCJNMFM_00456,JIEPOILB_00456,MHMAIFBA_00407,KGLDIDPM_00455,CFOCILDN_04845
